nouns, singular → plural	homo	homines
nouns, singular → plural	pars	partes
nouns, singular → plural	caelum	caela
nouns, singular → plural	pater	patres
nouns, singular → plural	urbs	urbes
nouns, singular → plural	locus	loci
nouns, singular → plural	mors	mortes
nouns, singular → plural	corpus	corpora
nouns, singular → plural	amor	amores
nouns, singular → plural	animus	animi
nouns, singular → plural	deus	di
nouns, singular → plural	annus	anni
nouns, singular → plural	verbum	verba
nouns, singular → plural	tempus	tempora
nouns, singular → plural	vir	viri
nouns, singular → plural	bellum	bella
nouns, singular → plural	nomen	nomina
nouns, singular → plural	labor	labores
nouns, singular → plural	virtus	virtutes
nouns, singular → plural	rex	reges
nouns, singular → plural	populus	populi
nouns, singular → plural	mare	maria
