adjectives, opposites	omnis	nullus
adjectives, opposites	magnus	parvus
adjectives, opposites	bonus	malus
adjectives, opposites	primus	ultimus
adjectives, opposites	novus	vetus
adjectives, opposites	gravis	levis
adjectives, opposites	longus	brevis
adjectives, opposites	miser	laetus
adjectives, opposites	certus	incertus
adjectives, opposites	altus	humus
adjectives, opposites	facilis	difficilis
adjectives, opposites	totus	nullus
adjectives, opposites	dignus	indignus
adjectives, opposites	verus	falsus
adjectives, opposites	aequus	iniquus
adjectives, opposites	amicus	inimicus
adjectives, opposites	liber	servus
adjectives, opposites	multus	paucus
adjectives, opposites	publicus	privatus
adjectives, opposites	similis	dissimilis
