adjective → adverb	magnus	magnopere
adjective → adverb	bonus	bene
adjective → adverb	gravis	graviter
adjective → adverb	longus	longe
adjective → adverb	miser	misere
adjective → adverb	certus	certe
adjective → adverb	altus	alte
adjective → adverb	facilis	facile
adjective → adverb	dignus	digne
adjective → adverb	verus	vere
adjective → adverb	aequus	aeque
adjective → adverb	liber	libere
adjective → adverb	publicus	publice
adjective → adverb	similis	similiter
adjective → adverb	parvus	parum
adjective → adverb	adulescens	adulescenter
